,android,ios,en,fi
,choicely_done,done,Done,Valmis
x,,Done,Done,
,drawer_open,,Menu open,Valikko auki
,drawer_close,,Menu closed,Valikko kiinni
,choicely_free,,Free,Ilmainen
,choicely_vote,Vote,vote,äänestä
,choicely_single_vote,,vote,ääni
,choicely_ok,Ok,Ok,Ok
,choicely_yes,Yes,Yes,Kyllä
,choicely_no,No,No,Ei
,choicely_cancel,cancel,Cancel,Peruuta
,choicely_close,,Close,Sulje
,choicely_refresh,,Refresh,Päivitä
,choicely_share,,Share,Jaa
,,getPaidVotesShare,Want to support your favourite to win? Invite friends & get more votes!,
,choicely_add_photo,,Add,Lisää kuva
x,,addContestPhoto,Tap to add a contest photo,
,choicely_follow,follow,Follow,Seuraa
,choicely_following,following_plural,Following,Älä seuraa
,,following_singular,Following,
,choicely_search,search_key,Search,Etsi
,choicely_save,Save,Save,Tallenna
,choicely_saving,CreatingContest,Saving,Tallentaa
,choicely_saved,,Saved,Tallennettu
x,,ProfileSaved,Profile saved,
,choicely_remove_participant_text,,Are you sure you want to remove this image? All votes for this image will be lost.,Oletko varma että haluat poistaa kuvan? Menetät kaikki tälle kuvalle annetut äänet.
,choicely_remove_participant_title,,Remove image,Poista kuva
,choicely_answered_with_colon,,Answered:,Vastattu:
,choicely_answered,,Answered,Vastattu
,choicely_submit,Submit,Submit,Vastaa
,choicely_survey_submitted,,Survey answer submitted,Kyselyn vastaus lähetetty
,choicely_edit,,Edit,Muokkaa
x,,edit_profile,Edit profile,
x,,MyProfile,Edit profile,
,choicely_live_caps,timeLeft,TIME LEFT,LIVE
,choicely_results,,RESULTS,TULOKSET
x,,finished_contests,Results,
,choicely_open_in_browser,OpenInBrowser,Open in browser,Avaa selaimessa
,choicely_buy_votes,,buy votes,Osta ääniä
,choicely_voted,,voted,Äänestetty
,,ThanksForYourVote,Thanks for your vote!,
,choicely_update,Update,Update,Päivitä
,choicely_update_default_title,,A new version of this app has been released!\nPlease update the app to all the latest features.,Uusi versio sovellusksesta on julkaistu!\nPäivitä uusimpaan versioon saadaksesi kaikki uudet ominaisuudet.
,choicely_generic_error,UnknownErrorOccurred,An error has occured!,Tapahtui virhe!
,choicely_no_internet_connection,,No internet connection!,Ei internet-yhteyttä!
,choicely_check_your_connection,PleaseCheckYoutInternetConnection,Try to enable your internet connection and refresh!,Koita saada yhteys internettiin ja päivitä sivu!
,choicely_content_download_failed,,Content download failed!,Sisällön lataaminen epäonnistui!
x,,requestError,Error loading content. Please try again.,
,choicely_content_does_not_exist,,"Content does not exist, or it has been deleted!",Sisältöä ei ole enää olemassa tai se on poistettu!
,choicely_could_not_follow,,Could not follow!,Seuraaminen epäonnistui!
,choicely_please_try_again_later,,Please try again later.,Kokeile myöhemmin uudelleen.
,choicely_forbidden_content,,Unauthorized content!,Pääsy estetty!
,choicely_you_do_not_have_access_to_this_content,,You do not have access to this content.,Sinulla ei ole oikeutta tähän sisältöön.
